date,q_cms
28/02/1997,82.47835714285715
31/03/1997,13.920822580645162
30/04/1997,4.980099999999999
31/05/1997,3.401564516129032
30/06/1997,2.01595
31/07/1997,1.7974354838709679
31/08/1997,1.6820806451612904
30/09/1997,1.58185
31/10/1997,1.6048548387096775
30/11/1997,2.27055
31/12/1997,1.5756774193548388
31/01/1998,5.28691935483871
28/02/1998,5.430964285714286
31/03/1998,4.95116129032258
30/04/1998,5.655150000000001
31/05/1998,2.456032258064516
30/06/1998,2.1319
31/07/1998,1.9587096774193549
31/08/1998,1.958516129032258
30/09/1998,1.58135
31/10/1998,2.062258064516129
30/11/1998,2.7018
31/12/1998,1.9274032258064515
31/01/1999,3.004451612903226
28/02/1999,6.089357142857144
31/03/1999,16.990548387096773
30/04/1999,6.8516
31/05/1999,2.67
