
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                4174                    81.76                     0.09
                4175                    81.83                     0.08
                4176                    81.91                     0.08
                4177                    81.99                     0.08
                4178                    82.07                     0.08
                4179                    82.16                     0.09
                4180                    82.23                     0.07
                4181                    82.31                     0.07
                4182                    82.38                     0.07
                4183                    82.46                     0.08
                4184                    82.54                     0.08
                4185                    82.62                     0.08
                4186                    82.69                     0.07
                4187                    82.76                     0.08
                4188                    82.84                     0.07
                4189                    82.92                     0.08
                4190                    82.99                     0.07
                4191                    83.06                     0.07
                4192                    83.13                     0.07
                4193                    83.20                     0.07
                4194                    83.27                     0.07
                4195                    83.34                     0.07
                4196                    83.41                     0.07
                4197                    83.48                     0.07
                4198                    83.54                     0.07
                4199                    83.61                     0.06
                4200                    83.67                     0.07
                4201                    83.74                     0.06
                4202                    83.80                     0.07
                4203                    83.87                     0.07
                4204                    83.94                     0.06
                4205                    83.99                     0.06
                4206                    84.05                     0.05
                4207                    84.11                     0.06
                4208                    84.17                     0.06
                4209                    84.23                     0.06
                4210                    84.30                     0.06
                4211                    84.36                     0.06
                4212                    84.42                     0.06
                4213                    84.48                     0.06
                4214                    84.54                     0.06
                4215                    84.59                     0.06
                4216                    84.66                     0.07
                4217                    84.72                     0.06
                4218                    84.78                     0.05
                4219                    84.83                     0.06
                4220                    84.89                     0.06
                4221                    84.95                     0.06
                4222                    85.01                     0.06
                4223                    85.07                     0.06
                4224                    85.13                     0.06
                4225                    85.19                     0.06
                4226                    85.25                     0.06
                4227                    85.31                     0.06
                4228                    85.37                     0.06
                4229                    85.43                     0.06
                4230                    85.48                     0.06
                4231                    85.54                     0.06
                4232                    85.59                     0.05
                4233                    85.65                     0.06
                4234                    85.71                     0.06
                4235                    85.76                     0.06
                4236                    85.82                     0.06
                4237                    85.88                     0.06
                4238                    85.93                     0.05
                4239                    85.99                     0.06
                4240                    86.05                     0.06
                4241                    86.10                     0.05
                4242                    86.17                     0.06
                4243                    86.22                     0.05
                4244                    86.27                     0.05
                4245                    86.32                     0.05
                4246                    86.38                     0.06
                4247                    86.43                     0.06
                4248                    86.49                     0.06
                4249                    86.55                     0.05
                4250                    86.60                     0.05
                4251                    86.65                     0.05
                4252                    86.70                     0.05
                4253                    86.76                     0.06
                4254                    86.81                     0.05
                4255                    86.86                     0.05
                4256                    86.91                     0.05
                4257                    86.96                     0.05
                4258                    87.01                     0.05
                4259                    87.07                     0.06
                4260                    87.13                     0.05
                4261                    87.18                     0.06
                4262                    87.23                     0.05
