
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                4110                    77.73                     0.10
                4111                    77.83                     0.09
                4112                    77.88                     0.06
                4113                    77.94                     0.06
                4114                    78.01                     0.07
                4115                    78.09                     0.08
                4116                    78.16                     0.08
                4117                    78.21                     0.05
                4118                    78.27                     0.06
                4119                    78.35                     0.08
                4120                    78.42                     0.07
                4121                    78.48                     0.06
                4122                    78.56                     0.08
                4123                    78.62                     0.07
                4124                    78.71                     0.08
                4125                    78.75                     0.04
                4126                    78.79                     0.04
                4127                    78.86                     0.07
                4128                    78.91                     0.06
                4129                    78.99                     0.07
                4130                    79.04                     0.05
                4131                    79.12                     0.08
                4132                    79.17                     0.05
                4133                    79.24                     0.07
                4134                    79.28                     0.04
                4135                    79.35                     0.07
                4136                    79.43                     0.08
                4137                    79.50                     0.07
                4138                    79.57                     0.07
                4139                    79.64                     0.08
                4140                    79.73                     0.09
                4141                    79.81                     0.08
                4142                    79.91                     0.10
                4143                    79.98                     0.07
                4144                    80.06                     0.08
                4145                    80.14                     0.08
                4146                    80.22                     0.08
                4147                    80.29                     0.07
                4148                    80.39                     0.10
                4149                    80.47                     0.08
                4150                    80.54                     0.07
                4151                    80.63                     0.09
                4152                    80.69                     0.06
                4153                    80.77                     0.08
                4154                    80.83                     0.06
                4155                    80.93                     0.10
                4156                    81.01                     0.08
                4157                    81.08                     0.06
                4158                    81.15                     0.08
                4159                    81.23                     0.08
                4160                    81.29                     0.06
                4161                    81.35                     0.06
                4162                    81.43                     0.08
                4163                    81.49                     0.06
                4164                    81.57                     0.08
                4165                    81.63                     0.06
                4166                    81.70                     0.08
                4167                    81.77                     0.07
                4168                    81.85                     0.08
                4169                    81.94                     0.09
                4170                    82.00                     0.06
                4171                    82.05                     0.05
                4172                    82.10                     0.06
                4173                    82.18                     0.07
                4174                    82.25                     0.08
                4175                    82.31                     0.06
                4176                    82.35                     0.04
                4177                    82.40                     0.05
                4178                    82.49                     0.09
                4179                    82.55                     0.06
                4180                    82.62                     0.07
                4181                    82.67                     0.05
                4182                    82.73                     0.06
                4183                    82.77                     0.04
                4184                    82.85                     0.08
                4185                    82.91                     0.06
                4186                    82.97                     0.06
                4187                    83.04                     0.07
                4188                    83.08                     0.04
                4189                    83.13                     0.05
                4190                    83.20                     0.07
                4191                    83.25                     0.05
                4192                    83.29                     0.04
                4193                    83.32                     0.04
                4194                    83.40                     0.08
                4195                    83.46                     0.06
                4196                    83.52                     0.06
                4197                    83.58                     0.06
                4198                    83.63                     0.05
                4199                    83.68                     0.05
                4200                    83.74                     0.05
                4201                    83.79                     0.05
                4202                    83.84                     0.05
                4203                    83.90                     0.06
                4204                    83.96                     0.06
                4205                    84.01                     0.06
                4206                    84.04                     0.03
                4207                    84.11                     0.07
                4208                    84.18                     0.06
                4209                    84.24                     0.06
                4210                    84.29                     0.05
                4211                    84.37                     0.08
                4212                    84.41                     0.04
                4213                    84.44                     0.03
                4214                    84.50                     0.06
                4215                    84.55                     0.05
                4216                    84.65                     0.10
                4217                    84.69                     0.04
                4218                    84.73                     0.03
                4219                    84.78                     0.06
                4220                    84.85                     0.06
                4221                    84.88                     0.04
                4222                    84.96                     0.07
                4223                    85.00                     0.05
                4224                    85.05                     0.05
                4225                    85.09                     0.04
                4226                    85.17                     0.08
                4227                    85.23                     0.06
                4228                    85.28                     0.05
                4229                    85.32                     0.05
                4230                    85.38                     0.05
                4231                    85.41                     0.03
                4232                    85.46                     0.05
                4233                    85.52                     0.06
                4234                    85.55                     0.04
                4235                    85.59                     0.03
                4236                    85.64                     0.06
                4237                    85.70                     0.06
                4238                    85.74                     0.03
                4239                    85.77                     0.04
                4240                    85.84                     0.06
                4241                    85.87                     0.03
                4242                    85.94                     0.07
                4243                    85.98                     0.04
                4244                    86.01                     0.03
                4245                    86.05                     0.04
                4246                    86.11                     0.06
                4247                    86.14                     0.03
                4248                    86.20                     0.06
                4249                    86.25                     0.05
                4250                    86.30                     0.05
                4251                    86.36                     0.06
                4252                    86.39                     0.03
                4253                    86.47                     0.08
                4254                    86.53                     0.06
                4255                    86.58                     0.05
                4256                    86.63                     0.05
                4257                    86.67                     0.04
                4258                    86.71                     0.05
                4259                    86.76                     0.05
                4260                    86.81                     0.05
                4261                    86.86                     0.05
                4262                    86.92                     0.06
                4263                    86.97                     0.05
                4264                    87.02                     0.05
                4265                    87.09                     0.07
                4266                    87.16                     0.07
                4267                    87.20                     0.04
                4268                    87.26                     0.06
                4269                    87.31                     0.04
                4270                    87.37                     0.07
                4271                    87.43                     0.05
                4272                    87.47                     0.04
                4273                    87.51                     0.05
                4274                    87.60                     0.08
                4275                    87.68                     0.08
                4276                    87.74                     0.06
                4277                    87.79                     0.06
                4278                    87.83                     0.04
                4279                    87.89                     0.06
                4280                    87.96                     0.07
                4281                    88.02                     0.06
                4282                    88.08                     0.06
                4283                    88.14                     0.06
                4284                    88.21                     0.07
                4285                    88.29                     0.08
                4286                    88.34                     0.05
                4287                    88.39                     0.05
                4288                    88.45                     0.06
                4289                    88.49                     0.04
                4290                    88.58                     0.09
                4291                    88.65                     0.08
                4292                    88.73                     0.08
                4293                    88.80                     0.06
                4294                    88.87                     0.07
                4295                    88.95                     0.08
                4296                    89.02                     0.07
                4297                    89.08                     0.06
                4298                    89.14                     0.06
                4299                    89.23                     0.10
                4300                    89.30                     0.06
                4301                    89.36                     0.06
                4302                    89.41                     0.05
                4303                    89.47                     0.06
                4304                    89.55                     0.08
                4305                    89.66                     0.11
                4306                    89.72                     0.05
                4307                    89.80                     0.08
                4308                    89.85                     0.06
                4309                    89.93                     0.08
                4310                    90.00                     0.08
                4311                    90.05                     0.05
                4312                    90.13                     0.08
                4313                    90.20                     0.07
                4314                    90.29                     0.08
                4315                    90.33                     0.05
                4316                    90.41                     0.08
                4317                    90.50                     0.09
                4318                    90.57                     0.07
                4319                    90.63                     0.06
                4320                    90.67                     0.05
                4321                    90.75                     0.08
                4322                    90.80                     0.05
                4323                    90.86                     0.06
                4324                    90.91                     0.05
                4325                    90.97                     0.06
                4326                    91.00                     0.03
                4327                    91.06                     0.05
                4328                    91.08                     0.02
                4329                    91.12                     0.04
                4330                    91.17                     0.05
                4331                    91.23                     0.06
                4332                    91.26                     0.04
                4333                    91.32                     0.05
                4334                    91.36                     0.04
                4335                    91.40                     0.04
                4336                    91.43                     0.04
                4337                    91.49                     0.05
                4338                    91.50                     0.02
                4339                    91.55                     0.05
                4340                    91.59                     0.03
                4341                    91.63                     0.05
                4342                    91.69                     0.06
                4343                    91.72                     0.03
                4344                    91.76                     0.04
                4345                    91.79                     0.03
                4346                    91.84                     0.05
                4347                    91.88                     0.04
                4348                    91.91                     0.03
                4349                    91.92                     0.02
                4350                    91.97                     0.04
                4351                    91.99                     0.03
                4352                    92.02                     0.03
                4353                    92.09                     0.07
                4354                    92.14                     0.05
                4355                    92.17                     0.03
                4356                    92.20                     0.03
                4357                    92.23                     0.03
                4358                    92.26                     0.04
                4359                    92.30                     0.03
                4360                    92.32                     0.03
                4361                    92.35                     0.03
                4362                    92.40                     0.05
                4363                    92.44                     0.04
                4364                    92.47                     0.03
                4365                    92.50                     0.04
                4366                    92.53                     0.03
                4367                    92.56                     0.03
                4368                    92.60                     0.04
                4369                    92.65                     0.05
                4370                    92.69                     0.05
                4371                    92.72                     0.03
                4372                    92.76                     0.04
                4373                    92.79                     0.04
                4374                    92.84                     0.05
                4375                    92.89                     0.05
                4376                    92.92                     0.03
                4377                    92.95                     0.03
                4378                    92.97                     0.02
                4379                    93.02                     0.05
                4380                    93.04                     0.02
                4381                    93.07                     0.03
                4382                    93.12                     0.05
                4383                    93.15                     0.03
                4384                    93.17                     0.03
                4385                    93.24                     0.06
                4386                    93.26                     0.02
                4387                    93.30                     0.04
                4388                    93.33                     0.03
                4389                    93.34                     0.01
                4390                    93.37                     0.03
                4391                    93.42                     0.04
                4392                    93.46                     0.04
                4393                    93.48                     0.03
                4394                    93.52                     0.04
                4395                    93.55                     0.03
                4396                    93.59                     0.05
                4397                    93.62                     0.03
                4398                    93.66                     0.04
                4399                    93.69                     0.03
                4400                    93.72                     0.03
                4401                    93.76                     0.04
                4402                    93.79                     0.03
                4403                    93.84                     0.05
                4404                    93.88                     0.03
                4405                    93.92                     0.04
                4406                    93.96                     0.05
                4407                    93.99                     0.03
                4408                    94.02                     0.03
                4409                    94.04                     0.02
                4410                    94.07                     0.04
                4411                    94.12                     0.05
                4412                    94.15                     0.03
                4413                    94.18                     0.03
                4414                    94.22                     0.04
                4415                    94.23                     0.01
                4416                    94.26                     0.03
                4417                    94.29                     0.04
                4418                    94.35                     0.06
                4419                    94.38                     0.03
                4420                    94.41                     0.04
                4421                    94.45                     0.04
                4422                    94.49                     0.03
                4423                    94.53                     0.05
                4424                    94.58                     0.04
                4425                    94.60                     0.03
                4426                    94.64                     0.03
                4427                    94.68                     0.05
                4428                    94.70                     0.02
                4429                    94.74                     0.04
                4430                    94.76                     0.02
                4431                    94.79                     0.03
                4432                    94.83                     0.03
                4433                    94.87                     0.05
                4434                    94.90                     0.02
                4435                    94.92                     0.03
                4436                    94.95                     0.03
                4437                    94.99                     0.04
                4438                    95.02                     0.03
                4439                    95.06                     0.04
                4440                    95.10                     0.04
                4441                    95.12                     0.02
                4442                    95.14                     0.03
                4443                    95.19                     0.05
                4444                    95.21                     0.02
                4445                    95.24                     0.03
                4446                    95.26                     0.02
                4447                    95.28                     0.02
                4448                    95.30                     0.02
                4449                    95.34                     0.05
                4450                    95.38                     0.04
                4451                    95.40                     0.03
                4452                    95.42                     0.02
                4453                    95.45                     0.03
                4454                    95.48                     0.03
                4455                    95.50                     0.02
                4456                    95.54                     0.03
                4457                    95.57                     0.03
                4458                    95.59                     0.02
                4459                    95.61                     0.02
                4460                    95.62                     0.01
                4461                    95.64                     0.02
                4462                    95.66                     0.02
                4463                    95.71                     0.05
                4464                    95.72                     0.02
                4465                    95.75                     0.02
                4466                    95.76                     0.02
                4467                    95.78                     0.02
                4468                    95.81                     0.03
                4469                    95.85                     0.04
                4470                    95.87                     0.03
                4471                    95.89                     0.02
                4472                    95.92                     0.03
                4473                    95.93                     0.01
                4474                    95.95                     0.02
                4475                    95.97                     0.02
                4476                    95.98                     0.02
                4477                    96.01                     0.02
                4478                    96.06                     0.05
                4479                    96.07                     0.02
                4480                    96.10                     0.03
                4481                    96.12                     0.02
                4482                    96.13                     0.01
                4483                    96.16                     0.03
                4484                    96.19                     0.03
                4485                    96.21                     0.03
                4486                    96.23                     0.02
                4487                    96.24                     0.02
                4488                    96.27                     0.03
                4489                    96.29                     0.02
                4490                    96.31                     0.02
                4491                    96.33                     0.02
                4492                    96.35                     0.02
                4493                    96.37                     0.02
                4494                    96.40                     0.03
                4495                    96.43                     0.02
                4496                    96.44                     0.02
                4497                    96.47                     0.03
                4498                    96.50                     0.03
                4499                    96.52                     0.02
                4500                    96.54                     0.02
                4501                    96.56                     0.02
                4502                    96.58                     0.02
                4503                    96.59                     0.01
                4504                    96.63                     0.04
                4505                    96.67                     0.04
                4506                    96.68                     0.01
                4507                    96.70                     0.02
                4508                    96.73                     0.03
                4509                    96.75                     0.02
                4510                    96.76                     0.02
                4511                    96.79                     0.03
                4512                    96.81                     0.02
                4513                    96.84                     0.03
                4514                    96.86                     0.02
                4515                    96.89                     0.03
                4516                    96.91                     0.02
                4517                    96.95                     0.03
                4518                    96.96                     0.02
                4519                    96.98                     0.02
                4520                    96.99                     0.02
                4521                    97.01                     0.02
                4522                    97.04                     0.02
                4523                    97.08                     0.04
                4524                    97.09                     0.01
                4525                    97.10                     0.02
                4526                    97.13                     0.03
                4527                    97.14                     0.01
                4528                    97.17                     0.02
                4529                    97.19                     0.03
                4530                    97.23                     0.03
                4531                    97.24                     0.01
                4532                    97.25                     0.02
                4533                    97.28                     0.03
                4534                    97.30                     0.02
                4535                    97.33                     0.02
                4536                    97.34                     0.02
                4537                    97.35                     0.01
                4538                    97.36                     0.01
                4539                    97.39                     0.03
                4540                    97.42                     0.04
                4541                    97.46                     0.04
                4542                    97.46                     0.00
                4543                    97.49                     0.02
                4544                    97.50                     0.01
                4545                    97.51                     0.01
                4546                    97.55                     0.04
                4547                    97.57                     0.02
                4548                    97.58                     0.01
                4549                    97.60                     0.03
                4550                    97.63                     0.03
                4551                    97.66                     0.03
                4552                    97.68                     0.02
                4553                    97.68                     0.00
                4554                    97.70                     0.02
                4555                    97.71                     0.02
                4556                    97.74                     0.03
                4557                    97.76                     0.02
                4558                    97.79                     0.03
                4559                    97.80                     0.02
                4560                    97.82                     0.02
                4561                    97.84                     0.02
                4562                    97.86                     0.02
                4563                    97.86                     0.00
                4564                    97.88                     0.02
                4565                    97.90                     0.02
                4566                    97.92                     0.02
                4567                    97.95                     0.03
                4568                    97.96                     0.02
                4569                    97.99                     0.03
                4570                    98.00                     0.00
                4571                    98.01                     0.02
                4572                    98.03                     0.02
                4573                    98.05                     0.01
                4574                    98.05                     0.00
                4575                    98.07                     0.03
                4576                    98.11                     0.03
                4577                    98.13                     0.03
                4578                    98.14                     0.01
                4579                    98.15                     0.01
                4580                    98.15                     0.01
                4581                    98.16                     0.01
                4582                    98.18                     0.02
                4583                    98.20                     0.02
                4584                    98.22                     0.02
                4585                    98.25                     0.03
                4586                    98.27                     0.02
                4587                    98.29                     0.02
                4588                    98.29                     0.00
                4589                    98.30                     0.01
                4590                    98.32                     0.02
                4591                    98.32                     0.00
                4592                    98.34                     0.02
                4593                    98.36                     0.02
                4594                    98.37                     0.02
                4595                    98.39                     0.02
                4596                    98.39                     0.00
                4597                    98.40                     0.01
                4598                    98.42                     0.02
                4599                    98.44                     0.02
                4600                    98.45                     0.01
                4601                    98.46                     0.00
                4602                    98.46                     0.01
                4603                    98.47                     0.01
                4604                    98.50                     0.02
                4605                    98.52                     0.02
                4606                    98.53                     0.01
                4607                    98.53                     0.00
                4608                    98.53                     0.00
                4609                    98.55                     0.01
                4610                    98.55                     0.00
                4611                    98.57                     0.02
                4612                    98.58                     0.02
                4613                    98.59                     0.01
                4614                    98.61                     0.02
                4615                    98.61                     0.00
                4616                    98.63                     0.01
                4617                    98.64                     0.01
                4618                    98.64                     0.00
                4619                    98.65                     0.02
                4620                    98.66                     0.01
                4621                    98.69                     0.03
                4622                    98.69                     0.00
                4623                    98.70                     0.02
                4624                    98.70                     0.00
                4625                    98.70                     0.00
                4626                    98.72                     0.02
                4627                    98.73                     0.01
                4628                    98.73                     0.00
                4629                    98.75                     0.02
                4630                    98.75                     0.01
                4631                    98.76                     0.01
                4632                    98.78                     0.01
                4633                    98.78                     0.01
                4634                    98.78                     0.00
                4635                    98.78                     0.00
                4636                    98.79                     0.01
                4637                    98.80                     0.01
                4638                    98.81                     0.01
                4639                    98.82                     0.01
                4640                    98.83                     0.01
                4641                    98.84                     0.01
                4642                    98.85                     0.01
                4643                    98.85                     0.00
                4644                    98.86                     0.00
                4645                    98.87                     0.01
                4646                    98.87                     0.01
                4647                    98.88                     0.00
                4648                    98.89                     0.02
                4649                    98.91                     0.02
                4650                    98.92                     0.02
                4651                    98.93                     0.00
                4652                    98.93                     0.00
                4653                    98.94                     0.01
                4654                    98.94                     0.00
                4655                    98.94                     0.00
                4656                    98.95                     0.01
                4657                    98.96                     0.02
                4658                    98.97                     0.00
                4659                    98.98                     0.01
                4660                    98.98                     0.01
                4661                    98.99                     0.01
                4662                    99.00                     0.00
                4663                    99.01                     0.01
                4664                    99.01                     0.01
                4665                    99.03                     0.02
                4666                    99.03                     0.00
                4667                    99.04                     0.01
                4668                    99.05                     0.02
                4669                    99.07                     0.01
                4670                    99.07                     0.00
                4671                    99.08                     0.02
                4672                    99.09                     0.01
                4673                    99.09                     0.00
                4674                    99.10                     0.00
                4675                    99.11                     0.01
                4676                    99.11                     0.01
                4677                    99.13                     0.01
                4678                    99.14                     0.01
                4679                    99.15                     0.01
                4680                    99.16                     0.01
                4681                    99.16                     0.01
                4682                    99.16                     0.00
                4683                    99.16                     0.00
                4684                    99.18                     0.02
                4685                    99.18                     0.00
                4686                    99.19                     0.01
                4687                    99.20                     0.01
                4688                    99.21                     0.01
                4689                    99.21                     0.01
                4690                    99.22                     0.01
                4691                    99.22                     0.00
                4692                    99.23                     0.00
                4693                    99.24                     0.01
                4694                    99.25                     0.01
                4695                    99.25                     0.01
                4696                    99.27                     0.01
                4697                    99.28                     0.01
                4698                    99.28                     0.00
                4699                    99.28                     0.00
                4700                    99.30                     0.02
                4701                    99.30                     0.00
                4702                    99.31                     0.01
                4703                    99.31                     0.00
                4704                    99.31                     0.00
                4705                    99.33                     0.01
                4706                    99.33                     0.01
                4707                    99.34                     0.01
                4708                    99.36                     0.02
                4709                    99.36                     0.00
                4710                    99.36                     0.00
                4711                    99.36                     0.00
                4712                    99.37                     0.01
                4713                    99.37                     0.00
                4714                    99.38                     0.00
                4715                    99.39                     0.02
                4716                    99.41                     0.02
                4717                    99.42                     0.01
                4718                    99.42                     0.00
                4719                    99.42                     0.01
                4720                    99.43                     0.01
                4721                    99.44                     0.01
                4722                    99.44                     0.00
                4723                    99.45                     0.00
                4724                    99.45                     0.01
                4725                    99.46                     0.01
                4726                    99.48                     0.02
                4727                    99.48                     0.00
                4728                    99.49                     0.01
                4729                    99.50                     0.00
                4730                    99.50                     0.01
                4731                    99.51                     0.00
                4732                    99.51                     0.01
                4733                    99.51                     0.00
                4734                    99.52                     0.01
                4735                    99.53                     0.01
                4736                    99.54                     0.01
                4737                    99.55                     0.01
                4738                    99.56                     0.01
                4739                    99.56                     0.00
                4740                    99.57                     0.01
                4741                    99.57                     0.00
                4742                    99.59                     0.01
                4743                    99.59                     0.01
